time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,20,10,0,0
2026-04-03 00:00:00+00:00,2,2,0,0
2026-04-04 00:00:00+00:00,18,7,0,0
2026-04-05 00:00:00+00:00,26,8,0,0
2026-04-06 00:00:00+00:00,4,4,0,0
2026-04-07 00:00:00+00:00,17,7,0,0
2026-04-08 00:00:00+00:00,22,7,0,0
2026-04-09 00:00:00+00:00,21,6,0,0
2026-04-10 00:00:00+00:00,10,4,0,0
2026-04-11 00:00:00+00:00,21,7,0,0
2026-04-12 00:00:00+00:00,30,8,0,0
2026-04-13 00:00:00+00:00,13,6,0,0
2026-04-14 00:00:00+00:00,30,7,0,0
2026-04-15 00:00:00+00:00,37,10,0,0
